Sat Sep 01 01:30:53 +0000 2018,RT @DeboraHoffHoff: Q vergonha internacional https://t.co/zGcQFilNQt
Sat Sep 01 01:30:53 +0000 2018,"RT @JotaInfo: Jorge Mussi afirma que Lula é inelegível, conforme a Lei da Ficha Limpa, e que decisão do Comitê de Direitos Humanos da ONU e…"
Sat Sep 01 01:30:53 +0000 2018,RT @rtcontrafavs: BOB ESPONJA OU BOLSONARO? https://t.co/L0ldXzDcmb
Sat Sep 01 01:30:53 +0000 2018,"RT @AvancaNordeste: Uma circular atribuída ao Comando Vermelho do Ceará que proíbe candidatos saídos das corporações militares, entre eles…"
Sat Sep 01 01:30:53 +0000 2018,Olha a pilantragem do eleitor do Alvaro Dias!! Bolsonaro é 17!!
Sat Sep 01 01:30:53 +0000 2018,"RT @conexaopolitica: URGENTE: A votação decisiva sobre candidatura de Lula está empatada. Barroso contra, Fachin a favor. Agora vota o mini…"
Sat Sep 01 01:30:53 +0000 2018,"RT @JoelAlexandreM: Jornal Nacional mostra Jair Bolsonaro em Porto Velho/Ro

#LulaInelegivel #DeusFamiliaBrasil https://t.co/AXb4ExVnBa"
Sat Sep 01 01:30:54 +0000 2018,"@rafaelmartelo Bora lá .. Lula laaa
#LulaNasUrnasTSE"
Sat Sep 01 01:30:53 +0000 2018,"RT @alicebiruta: ""MINHA PROPOSTA É CLARA EU VOU MUDAR ISSO DAÍ TALKEI""

o adnet atingiu a perfeição imitando o bolsonaro https://t.co/L3Qxs…"
Sat Sep 01 01:30:54 +0000 2018,RT @kimpkat: Vitória! O ministro Barroso considerou minha ação para impugnar a candidatura de Lula PROCEDENTE. Lugar de bandido é na cadeia…
Sat Sep 01 01:30:54 +0000 2018,"RT @ToniBulhoes: Não tem preço ver Ministro Barroso impugnar a candidatura de Lula, citando Alexandre Frota e Kim Kataguiri.

O Judiciário…"
Sat Sep 01 01:30:54 +0000 2018,"RT @joaoamoedonovo: ""Amoêdo conseguiu um feito considerável: seduziu setores da classe média, conquistou eleitores cansados da velha políti…"
Sat Sep 01 01:30:54 +0000 2018,"RT @blasinjunior: Q linda está Lula princesa 

GRACIAS RENATO Y GABRIEL"
Sat Sep 01 01:30:54 +0000 2018,@twinter_net O índice de rejeição do Bolsonaro está acima de 60% muito difícil ganhar de alguém
Sat Sep 01 01:30:54 +0000 2018,O ministro Jorge Mussi se encaminha para a conclusão de seu voto: mais um contra o registro de Lula.
Sat Sep 01 01:30:54 +0000 2018,"RT @diegoescosteguy: Apesar da celeuma com o voto de Fachin, os demais ministros do TSE devem seguir Barroso por ampla maioria - e rejeitar…"
Sat Sep 01 01:30:54 +0000 2018,@deltanmd Vai esperando a apuração das urnas fraudulentas para tomarem um decisão forte. Eles tem que liberar o nom… https://t.co/cQjBhMBrHM
Sat Sep 01 01:30:54 +0000 2018,"RT @mdenser: Mas com a aprovação agora da terceirização irrestrita pelo STF do Golpe, o Lula/ Haddad/PT ganham tranquilamente com 51% no pr…"
Sat Sep 01 01:30:55 +0000 2018,"RT @JuMagalhaesBH: Por isso ou é Bolsonaro ou continuará (se não piorar) a mesma coisa. 
O que vcs querem, afinal? https://t.co/0lhtnY0VqH"
Sat Sep 01 01:30:54 +0000 2018,Gostei de um vídeo @YouTube https://t.co/y2FaWiLMxR DIRIA!!! Esquerda americana compara Bolsonaro a Trump e teme sua vitória
Sat Sep 01 01:30:55 +0000 2018,"RT @cyrusafa: ~desafia Barroso~

RISOS https://t.co/3w5bW6txiC"
Sat Sep 01 01:30:55 +0000 2018,@joelfonseca68 Você tem as provas dos crimes do @LULA ou é só mais um que faz o serviço sujo pela boca.
Sat Sep 01 01:30:55 +0000 2018,"RT @JotaInfo: Jorge Mussi afirma que Lula é inelegível, conforme a Lei da Ficha Limpa, e que decisão do Comitê de Direitos Humanos da ONU e…"
Sat Sep 01 01:30:55 +0000 2018,Ah alguém com coerência 😐
Sat Sep 01 01:30:55 +0000 2018,"RT @eumesmavivi: Isso é bom. 😊
 https://t.co/BTJCR7UCWq"
Sat Sep 01 01:30:55 +0000 2018,"RT @alicebiruta: ""MINHA PROPOSTA É CLARA EU VOU MUDAR ISSO DAÍ TALKEI""

o adnet atingiu a perfeição imitando o bolsonaro https://t.co/L3Qxs…"
